village,leader_eigenvector_centrality,leader_degrees,household,mf_rate_nonleader,fractoin_of_taking_leaders,Eigenvector_centrality_taking_leader
1,0.08871711853571429,21.11111111111111,182,0.21428571428571427,0.32142857142857145,0.07789353222222223
2,0.07824729881818182,15.727272727272727,195,0.13872832369942195,0.2727272727272727,0.02860018516666667
3,0.06405249314285716,16.636363636363637,292,0.14007782101167315,0.05714285714285714,0.0478921125
4,0.06619129683333333,16.625,239,0.06787330316742081,0.1111111111111111,0.10756386100000001
6,0.12190391963636368,13.6,114,0.2391304347826087,0.13636363636363635,0.13372440433333335
9,0.09711095300000001,24.058823529411764,207,0.16853932584269662,0.2413793103448276,0.09395166557142856
12,0.09384999329629629,15.529411764705882,175,0.3310810810810811,0.18518518518518517,0.1217267738
15,0.08333232249999999,15.368421052631579,171,0.13286713286713286,0.03571428571428571,0.08423685199999999
19,0.0820881700740741,20.363636363636363,204,0.20903954802259886,0.18518518518518517,0.0882020238
20,0.12277924939999998,17.0,156,0.3972602739726027,0.5,0.1188178532
21,0.080307214,20.384615384615383,202,0.4375,0.5384615384615384,0.06352402364285714
23,0.06596482842857142,19.214285714285715,254,0.16371681415929204,0.17857142857142858,0.05384445720000001
24,0.09264556931578947,18.785714285714285,163,0.16666666666666666,0.3157894736842105,0.11102654733333334
25,0.07612198857142857,19.416666666666668,252,0.1471861471861472,0.3333333333333333,0.04627403628571429
29,0.08087698023076924,17.923076923076923,290,0.25757575757575757,0.34615384615384615,0.07562180366666667
31,0.06959974344444445,14.181818181818182,153,0.3412698412698413,0.4074074074074074,0.07013220036363636
32,0.06958723381481481,17.555555555555557,241,0.17289719626168223,0.2222222222222222,0.08110276599999999
33,0.05347807192307693,12.125,204,0.18324607329842932,0.15384615384615385,0.015365562500000002
36,0.05571756910000001,24.11111111111111,289,0.07228915662650602,0.125,0.028165692399999998
39,0.05516184900000002,15.461538461538462,287,0.17372881355932204,0.2549019607843137,0.07175617615384615
42,0.08338060686666668,11.88888888888889,192,0.3107344632768362,0.4,0.07049164616666666
43,0.067825259,16.818181818181817,198,0.22033898305084745,0.42857142857142855,0.05615558133333333
45,0.052229327076923085,13.454545454545455,221,0.18461538461538463,0.34615384615384615,0.03725681266666667
46,0.07330041344444445,16.46153846153846,262,0.19148936170212766,0.5555555555555556,0.08204239493333335
47,0.06639164373333334,17.8,139,0.23387096774193547,0.13333333333333333,0.033655162999999995
48,0.07096991332142857,16.25,182,0.17532467532467533,0.25,0.08211546457142858
50,0.061067512238095235,21.6,244,0.08071748878923767,0.23809523809523808,0.015521791200000001
51,0.06705847236000001,24.785714285714285,251,0.11946902654867257,0.08,0.0305879305
52,0.06567928831428568,28.05263157894737,327,0.10616438356164383,0.08571428571428572,0.046119137
55,0.046452047568181824,13.714285714285714,257,0.0892018779342723,0.20454545454545456,0.1019665118888889
57,0.08335374899999999,18.0,208,0.1358695652173913,0.25,0.08601070033333334
59,0.05759771704444444,15.538461538461538,329,0.07394366197183098,0.13333333333333333,0.04773460083333333
60,0.0426727916,16.75,356,0.14953271028037382,0.11428571428571428,0.024864017250000002
62,0.0666331839090909,14.727272727272727,190,0.16071428571428573,0.2727272727272727,0.055129109666666676
64,0.062363522483870955,14.31578947368421,257,0.09292035398230089,0.1935483870967742,0.09838052916666667
65,0.05241295490243901,22.363636363636363,297,0.1640625,0.1951219512195122,0.03473955725
67,0.07769161708695653,19.272727272727273,193,0.29411764705882354,0.30434782608695654,0.08028545157142856
68,0.07703305145,16.5,153,0.13533834586466165,0.2,0.05990676075000001
70,0.08768691536363636,27.5,205,0.18032786885245902,0.4090909090909091,0.064263592
71,0.05368730960869566,17.95,298,0.16666666666666666,0.21739130434782608,0.036579137100000006
72,0.06968083264516127,18.75,223,0.13541666666666666,0.25806451612903225,0.081487777625
73,0.09068943160000001,18.785714285714285,174,0.15584415584415584,0.3,0.07536688750000001
75,0.08193882256250001,21.9,172,0.23717948717948717,0.1875,0.037986131
